Number of ports,Number of nets,Number of cells,Number of combinational cells,Number of sequential cells,Number of macros/black boxes,Number of buf/inv,Number of references,Combinational area,Buf/Inv area,Noncombinational area,Macro/Black Box area,Total cell area,Cell Internal Power (mW),Net Switching Power (mW),Total Dynamic Power (mW),Cell Leakage Power (mW),IO_Pad Internal Power,IO_Pad Switching Power,IO_Pad Leakage Power,IO_Pad Total Power,Memory Internal Power,Memory Switching Power,Memory Leakage Power,Memory Total Power,Black_Box Internal Power,Black_Box Switching Power,Black_Box Leakage Power,Black_Box Total Power,Clock_Network Internal Power,Clock_Network Switching Power,Clock_Network Leakage Power,Clock_Network Total Power,Register Internal Power,Register Switching Power,Register Leakage Power,Register Total Power,Sequential Internal Power,Sequential Switching Power,Sequential Leakage Power,Sequential Total Power,Combinational Internal Power,Combinational Switching Power,Combinational Leakage Power,Combinational Total Power,Total Internal Power,Total Switching Power,Total Leakage Power,Total Total Power,Label,Circuit
27677,199130,172555,165058,6935,0,19505,3,173173.448023,10376.660102,31349.162863,0,204522.610886,45.7636,38.9549,84.7185,5.6873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27504,6252.7,548410,34306,0.132,0,38.7899,0.1708,18259,32704,5138800,56099,45764,38957,5687300,90404,'Trojan Infected','AES-T1000'
27677,199226,172651,165151,6938,0,19525,3,173285.434023,10387.300102,31357.142863,0,204642.576887,45.7661,38.9547,84.7208,5.6891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27503,6251.9,548410,34303,0.5295,0,155.1727,0.6846,18262,32705,5140600,56105,45766,38957,5689100,90409,'Trojan Infected','AES-T1100'
27933,199767,172939,165442,6934,0,19635,3,173679.380034,10445.820103,31346.502863,0,205025.882896,45.7678,38.9601,84.7279,5.6969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27504,6252.7,548410,34306,0,0,0,0,18263,32709,5148500,56118,45768,38962,5696900,90424,'Trojan Infected','AES-T1200'
28163,198737,172415,165004,6851,0,19504,2,173105.618024,10376.128102,30969.314877,0,204074.932901,45.5587,38.9441,84.5029,5.6787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27305,6250.5,541760,34097,0.1321,0,38.7913,0.1709,18254,32695,5136900,56083,45559,38946,5678700,90180,'Trojan Infected','AES-T71300'
28163,198832,172510,165096,6854,0,19523,2,173217.338023,10386.236102,30977.294877,0,204194.6329,45.5597,38.9462,84.506,5.681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27302,6249.7,541760,34094,0.5304,0,155.165,0.6856,18257,32698,5139000,56091,45560,38948,5681000,90186,'Trojan Infected','AES-T1400'
28419,199373,172798,165387,6850,0,19633,2,173611.284033,10444.756103,30966.654877,0,204577.93891,45.5624,38.9514,84.5138,5.6887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27305,6250.5,541760,34097,0,0,0,0,18257,32703,5147000,56104,45562,38954,5688700,90201,'Trojan Infected','AES-T1500'
27325,199531,172998,165425,7011,0,19537,3,173567.128024,10395.812102,31921.06285,0,205488.190874,45.7363,38.9654,84.7018,5.7037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27400,6249.2,543900,34193,54.4863,5.6516,12982,73.1202,18282,32712,5146800,56138,45736,38967,5703700,90404,'Trojan Infected','AES-T1600'
27580,200062,173279,165711,7005,0,19647,3,173956.552034,10454.598103,31901.37885,0,205857.930884,45.653,38.9544,84.6074,5.7102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27393,6251.5,543750,34188,0,0,12821,12.8207,18260,32705,5153600,56115,45653,38956,5710200,90317,'Trojan Infected','AES-T1700'
27009,198562,172369,164960,6850,0,19504,1,173046.832023,10376.128102,30966.654877,0,204013.486899,45.5527,38.9407,84.4934,5.6775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27302,6249.4,541760,34094,0,0,0,0,18250,32693,5135800,56076,45553,38942,5677500,90170,'Trojan Infected','AES-T1800'
27009,198562,172369,164960,6850,0,19504,1,173046.832023,10376.128102,30966.654877,0,204013.486899,45.5527,38.9407,84.4934,5.6775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27302,6249.4,541760,34094,0,0,0,0,18250,32693,5135800,56076,45553,38942,5677500,90170,'Trojan Infected','AES-T1900'
27139,198832,172510,165096,6854,0,19523,2,173217.338023,10386.236102,30977.294877,0,204194.6329,45.5597,38.9462,84.506,5.681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27302,6249.7,541760,34094,0.5304,0,155.165,0.6856,18257,32698,5139000,56091,45560,38948,5681000,90186,'Trojan Infected','AES-T2000'
27395,199345,172770,165358,6851,0,19603,2,173604.368034,10428.796103,30969.314877,0,204573.682911,45.5628,38.9534,84.5162,5.6891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27305,6250.5,541760,34097,0.1343,0,38.7899,0.1731,18258,32705,5147300,56107,45563,38955,5689100,90204,'Trojan Infected','AES-T2100'
1505,5343,3890,0,3875,0,0,52,0,0,0,0,0,0,300.4173,300.4173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300.3637,0,300.3637,0,300.3637,0,300.3637,'Trojan Free','B15'
1505,4772,3319,0,3304,0,0,53,0,0,0,0,0,0,325.0229,325.0229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.9598,0,324.9598,0,324.9598,0,324.9598,'Trojan Infected','B15-T100'
1505,4772,3319,0,3304,0,0,53,0,0,0,0,0,0,325.0229,325.0229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.9598,0,324.9598,0,324.9598,0,324.9598,'Trojan Infected','B15-T200'
1505,4772,3320,0,3305,0,0,53,0,0,0,0,0,0,325.0464,325.0464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.9927,0,324.9927,0,324.9927,0,324.9927,'Trojan Infected','B15-T300'
1505,4772,3320,0,3305,0,0,53,0,0,0,0,0,0,325.0464,325.0464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.9927,0,324.9927,0,324.9927,0,324.9927,'Trojan Infected','B15-T400'
641,103079,102057,0,102048,0,0,50,0,0,0,0,0,0,7.8896,7.8896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7893,0,7893,0,7893,0,7893,'Trojan Free','EthernetMAC10GE'
641,103092,102071,0,102062,0,0,51,0,0,0,0,0,0,7.8902,7.8902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7893.7,0,7893.7,0,7893.7,0,7893.7,'Trojan Infected','EthernetMAC10GE-T700'
641,103092,102071,0,102062,0,0,51,0,0,0,0,0,0,7.8903,7.8903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7893.7,0,7893.7,0,7893.7,0,7893.7,'Trojan Infected','EthernetMAC10GE-T710'
641,103092,102071,0,102062,0,0,51,0,0,0,0,0,0,7.8903,7.8903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7893.7,0,7893.7,0,7893.7,0,7893.7,'Trojan Infected','EthernetMAC10GE-T720'
641,103092,102071,0,102062,0,0,51,0,0,0,0,0,0,7.8903,7.8903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7893.7,0,7893.7,0,7893.7,0,7893.7,'Trojan Infected','EthernetMAC10GE-T730'
3587,6993,4748,3523,1195,0,791,17,3910.998028,433.846004,5440.763939,0,9351.761967,3.2051,129.9268,3.3351,183.7306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3115.4,20.2169,80110,3215.7,23.5884,1.4914,9953.8,35.0335,66.1613,108.2187,93667,268.0476,3205.2,129.9269,183730,3518.8,'Trojan Free','memctrl'
3587,7027,4773,3540,1203,0,797,17,3930.150029,437.570004,5483.32394,0,9413.473969,3.2599,131.4999,3.3914,184.8316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3169.4,20.3659,80764,3270.6,23.6254,1.4856,9953.2,35.0641,66.8721,109.6488,94114,270.6347,3259.9,131.5002,184830,3576.3,'Trojan Infected','Memctrl-T100'
327,2278,1868,1458,402,0,121,40,1981.168002,64.904001,1801.085949,0,3782.253951,1.0807,55.9064,1.1366,70.1808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033.2,10.5953,26677,1070.4,15.4132,2.5203,3724.3,21.6579,32.1509,42.7908,39779,114.721,1080.7,55.9064,70181,1206.8,'Trojan Infected','PIC16F84-T100'
286,2239,1858,1450,401,0,125,39,1964.942002,67.032001,1801.085949,0,3766.027951,1.0878,55.4968,1.1433,69.8496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039.1,10.0714,26665,1075.8,15.4622,2.5311,3722.8,21.7161,33.2761,42.8943,39462,115.632,1087.8,55.4969,69850,1213.2,'Trojan Infected','PIC16F84-T200'
286,2230,1846,1438,401,0,121,39,1955.632003,64.904001,1801.085949,0,3756.717951,1.0803,55.7542,1.1361,69.8349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032.5,10.4784,26679,1069.6,15.4124,2.5209,3724.3,21.6576,32.4347,42.7548,39431,114.6208,1080.3,55.7542,69835,1205.9,'Trojan Infected','PIC16F84-T300'
286,2240,1856,1448,401,0,121,39,1959.090002,64.638001,1801.085949,0,3760.175951,1.0802,55.6275,1.1358,69.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032.5,10.2399,26680,1069.4,15.407,2.5202,3724.3,21.6515,32.3055,42.8674,39411,114.584,1080.2,55.6276,69815,1205.7,'Trojan Infected','PIC16F84-T400'
35,144,108,67,40,0,8,3,70.756001,4.256,203.490006,0,274.246007,113.236,22.2439,135.4799,4.9253,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1921,0,17.1921,110.7879,2.3584,3048.8,116.1951,0,0,0,0,2.4481,2.6934,1876.4,7.018,113.236,22.2439,4925.3,140.4052,'Trojan Infected','RS232-T100'
35,134,91,51,39,0,6,3,56.126001,3.192,202.160007,0,258.286007,112.9965,22.1461,135.1427,4.5551,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1814,0,17.1814,110.7047,2.7147,3037.4,116.4568,0,0,0,0,2.2918,2.25,1517.7,6.0595,112.9965,22.1461,4555.1,139.6978,'Trojan Infected','RS232-T200'
35,134,91,51,39,0,6,3,56.126001,3.192,202.160007,0,258.286007,112.9965,22.1461,135.1427,4.5551,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1814,0,17.1814,110.7047,2.7147,3037.4,116.4568,0,0,0,0,2.2918,2.25,1517.7,6.0595,112.9965,22.1461,4555.1,139.6978,'Trojan Infected','RS232-T400'
35,134,91,51,39,0,6,3,56.126001,3.192,202.160007,0,258.286007,112.9965,22.1461,135.1427,4.5551,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1814,0,17.1814,110.7047,2.7147,3037.4,116.4568,0,0,0,0,2.2918,2.25,1517.7,6.0595,112.9965,22.1461,4555.1,139.6978,'Trojan Infected','RS232-T500'
35,134,91,51,39,0,6,3,56.126001,3.192,202.160007,0,258.286007,112.9965,22.1461,135.1427,4.5551,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1814,0,17.1814,110.7047,2.7147,3037.4,116.4568,0,0,0,0,2.2918,2.25,1517.7,6.0595,112.9965,22.1461,4555.1,139.6978,'Trojan Infected','RS232-T600'
35,134,91,51,39,0,6,3,56.126001,3.192,202.160007,0,258.286007,112.9965,22.1461,135.1427,4.5551,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1814,0,17.1814,110.7047,2.7147,3037.4,116.4568,0,0,0,0,2.2918,2.25,1517.7,6.0595,112.9965,22.1461,4555.1,139.6978,'Trojan Infected','RS232-T700'
35,134,91,51,39,0,6,3,56.126001,3.192,202.160007,0,258.286007,112.9965,22.1461,135.1427,4.5551,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1814,0,17.1814,110.7047,2.7147,3037.4,116.4568,0,0,0,0,2.2918,2.25,1517.7,6.0595,112.9965,22.1461,4555.1,139.6978,'Trojan Infected','RS232-T900'
35,134,91,51,39,0,6,3,56.126001,3.192,202.160007,0,258.286007,112.9965,22.1461,135.1427,4.5551,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1814,0,17.1814,110.7047,2.7147,3037.4,116.4568,0,0,0,0,2.2918,2.25,1517.7,6.0595,112.9965,22.1461,4555.1,139.6978,'Trojan Infected','RS232-T901'
27,310,270,0,270,0,0,16,0,0,0,0,0,0,20.8808,20.8808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8808,0,20.8808,0,20.8808,0,20.8808,'Trojan Infected','RS232-T1000'
27,314,273,0,273,0,0,18,0,0,0,0,0,0,21.0062,21.0062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0062,0,21.0062,0,21.0062,0,21.0062,'Trojan Infected','RS232-T1100'
27,314,274,0,274,0,0,17,0,0,0,0,0,0,21.2685,21.2685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.2685,0,21.2685,0,21.2685,0,21.2685,'Trojan Infected','RS232-T1200'
27,308,268,0,268,0,0,17,0,0,0,0,0,0,20.6712,20.6712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6712,0,20.6712,0,20.6712,0,20.6712,'Trojan Infected','RS232-T1300'
27,310,270,0,270,0,0,16,0,0,0,0,0,0,21.0861,21.0861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0861,0,21.0861,0,21.0861,0,21.0861,'Trojan Infected','RS232-T1400'
27,313,272,0,272,0,0,17,0,0,0,0,0,0,21.011,21.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.011,0,21.011,0,21.011,0,21.011,'Trojan Infected','RS232-T1500'
27,307,267,0,267,0,0,16,0,0,0,0,0,0,20.5086,20.5086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5086,0,20.5086,0,20.5086,0,20.5086,'Trojan Infected','RS232-T1600'
28,306,265,0,265,0,0,16,0,0,0,0,0,0,20.5802,20.5802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5803,0,20.5803,0,20.5803,0,20.5803,'Trojan Infected','RS232-T1700'
28,297,257,0,257,0,0,16,0,0,0,0,0,0,19.9124,19.9124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9124,0,19.9124,0,19.9124,0,19.9124,'Trojan Infected','RS232-T1800'
28,318,277,0,277,0,0,16,0,0,0,0,0,0,21.5434,21.5434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5434,0,21.5434,0,21.5434,0,21.5434,'Trojan Infected','RS232-T1900'
28,310,269,0,269,0,0,16,0,0,0,0,0,0,20.8405,20.8405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8404,0,20.8404,0,20.8404,0,20.8404,'Trojan Infected','RS232-T2000'
249,2407,2157,0,2157,0,0,36,0,0,0,0,0,0,179.3763,179.3763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.3625,0,179.3625,0,179.3625,0,179.3625,'Trojan Free','S15850'
249,2434,2184,0,2184,0,0,39,0,0,0,0,0,0,180.778,180.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.764,0,180.764,0,180.764,0,180.764,'Trojan Infected','S15850-T100'
336,5789,5329,0,5329,0,0,43,0,0,0,0,0,0,746.066,746.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,742.8379,0,742.8379,0,742.8379,0,742.8379,'Trojan Free','S38417'
336,5800,5341,0,5341,0,0,43,0,0,0,0,0,0,746.7147,746.7147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743.4731,0,743.4731,0,743.4731,0,743.4731,'Trojan Infected','S38417-T100'
336,5803,5344,0,5344,0,0,43,0,0,0,0,0,0,746.8525,746.8525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743.61,0,743.61,0,743.61,0,743.61,'Trojan Infected','S38417-T200'
336,5834,5375,0,5375,0,0,46,0,0,0,0,0,0,747.4134,747.4134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744.1719,0,744.1719,0,744.1719,0,744.1719,'Trojan Infected','S38417-T300'
544,7275,6475,0,6475,0,0,40,0,0,0,0,0,0,765.7115,765.7115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765.3516,0,765.3516,0,765.3516,0,765.3516,'Trojan Free','S38584'
544,7293,6484,0,6484,0,0,40,0,0,0,0,0,0,766.1261,766.1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765.7523,0,765.7523,0,765.7523,0,765.7523,'Trojan Infected','S38584-T100'
617,7475,6560,0,6558,0,0,42,0,0,0,0,0,0,771.7272,771.7272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771.3679,0,771.3679,0,771.3679,0,771.3679,'Trojan Infected','S38584-T200'
1130,9004,7216,0,7206,0,0,42,0,0,0,0,0,0,821.3123,821.3123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820.9468,0,820.9468,0,820.9468,0,820.9468,'Trojan Infected','S38584-T300'
711,70139,69216,0,69206,0,0,48,0,0,0,0,0,0,5.9109,5.9109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5908,0,5908,0,5908,0,5908,'Trojan Free','VGA_LCD'
711,70144,69221,0,69211,0,0,48,0,0,0,0,0,0,5.9112,5.9112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5908.3,0,5908.3,0,5908.3,0,5908.3,'Trojan Infected','VGA_LCD-T100'
2747,22182,20447,0,20447,0,0,26,0,0,0,0,0,0,1.7034,1.7034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1703.4,0,1703.4,0,1703.4,0,1703.4,'Trojan Free','WB_CONMAX'
2747,22196,20462,0,20462,0,0,26,0,0,0,0,0,0,1.7041,1.7041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1704.2,0,1704.2,0,1704.2,0,1704.2,'Trojan Infected','WB_CONMAX-T100'
35912,55569,20880,19763,852,0,2699,38,22605.744473,1558.760013,4202.268075,0,26808.012549,3.6706,718.7563,4.3894,549.9725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2894.2,21.384,64608,2980.2,NaN,0,77.3517,NaN,776.3722,697.3679,485290,1959,3670.6,718.7519,549970,4939.3,'Trojan Infected','WB_CONMAX-T200'
35912,55635,20946,19831,850,0,2670,25,22768.270475,1543.332013,4196.948075,0,26965.21855,3.6688,704.4243,4.3732,553.7618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2894.3,21.5099,64609,2980.4,0,0,0,0,774.5183,682.9127,489150,1946.6,3668.8,704.4226,553760,4927,'Trojan Infected','WB_CONMAX-T300'
373,920,687,0,687,0,0,3,0,0,0,0,0,0,26.301,26.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.301,0,26.301,0,26.301,0,26.301,'Trojan Free','C2670'
373,925,692,0,692,0,0,6,0,0,0,0,0,0,26.6372,26.6372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6372,0,26.6372,0,26.6372,0,26.6372,'Trojan Infected','C2670-T000'
373,927,694,0,694,0,0,8,0,0,0,0,0,0,26.8359,26.8359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.8359,0,26.8359,0,26.8359,0,26.8359,'Trojan Infected','C2670-T001'
373,925,692,0,692,0,0,7,0,0,0,0,0,0,26.6066,26.6066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6065,0,26.6065,0,26.6065,0,26.6065,'Trojan Infected','C2670-T002'
373,927,694,0,694,0,0,7,0,0,0,0,0,0,26.673,26.673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6729,0,26.6729,0,26.6729,0,26.6729,'Trojan Infected','C2670-T003'
373,930,697,0,697,0,0,8,0,0,0,0,0,0,26.8215,26.8215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.8215,0,26.8215,0,26.8215,0,26.8215,'Trojan Infected','C2670-T004'
373,930,697,0,697,0,0,8,0,0,0,0,0,0,26.8587,26.8587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.8587,0,26.8587,0,26.8587,0,26.8587,'Trojan Infected','C2670-T005'
373,927,694,0,694,0,0,6,0,0,0,0,0,0,26.7418,26.7418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7417,0,26.7417,0,26.7417,0,26.7417,'Trojan Infected','C2670-T006'
373,928,695,0,695,0,0,7,0,0,0,0,0,0,26.7099,26.7099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7098,0,26.7098,0,26.7098,0,26.7098,'Trojan Infected','C2670-T007'
373,928,695,0,695,0,0,8,0,0,0,0,0,0,26.7565,26.7565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7565,0,26.7565,0,26.7565,0,26.7565,'Trojan Infected','C2670-T008'
373,924,691,0,691,0,0,7,0,0,0,0,0,0,26.5878,26.5878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5878,0,26.5878,0,26.5878,0,26.5878,'Trojan Infected','C2670-T009'
373,927,694,0,694,0,0,7,0,0,0,0,0,0,26.7478,26.7478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7478,0,26.7478,0,26.7478,0,26.7478,'Trojan Infected','C2670-T010'
