Number of ports,Number of nets,Number of cells,Number of combinational cells,Number of sequential cells,Number of macros/black boxes,Number of buf/inv,Number of references,Combinational area,Buf/Inv area,Noncombinational area,Macro/Black Box area,Total cell area,Cell Internal Power (mW),Net Switching Power (mW),Total Dynamic Power (mW),Cell Leakage Power (mW),IO_Pad Internal Power,IO_Pad Switching Power,IO_Pad Leakage Power,IO_Pad Total Power,Memory Internal Power,Memory Switching Power,Memory Leakage Power,Memory Total Power,Black_Box Internal Power,Black_Box Switching Power,Black_Box Leakage Power,Black_Box Total Power,Clock_Network Internal Power,Clock_Network Switching Power,Clock_Network Leakage Power,Clock_Network Total Power,Register Internal Power,Register Switching Power,Register Leakage Power,Register Total Power,Sequential Internal Power,Sequential Switching Power,Sequential Leakage Power,Sequential Total Power,Combinational Internal Power,Combinational Switching Power,Combinational Leakage Power,Combinational Total Power,Total Internal Power,Total Switching Power,Total Leakage Power,Total Total Power,Label,Circuit
359,8370,6858,0,6858,0,0,26,0,0,0,0,0,0,726.3439,726.3439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.3456,0,726.3456,0,726.3456,0,726.3456,'Trojan Infected','S35932-T426'
359,8370,6860,0,6860,0,0,23,0,0,0,0,0,0,726.2657,726.2657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.2726,0,726.2726,0,726.2726,0,726.2726,'Trojan Infected','S35932-T427'
359,8475,6961,0,6961,0,0,41,0,0,0,0,0,0,732.991,732.991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732.9973,0,732.9973,0,732.9973,0,732.9973,'Trojan Infected','S35932-T428'
359,8372,6862,0,6862,0,0,23,0,0,0,0,0,0,726.3369,726.3369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.3438,0,726.3438,0,726.3438,0,726.3438,'Trojan Infected','S35932-T429'
359,8369,6859,0,6859,0,0,23,0,0,0,0,0,0,726.2469,726.2469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.254,0,726.254,0,726.254,0,726.254,'Trojan Infected','S35932-T430'
359,8362,6853,0,6853,0,0,25,0,0,0,0,0,0,726.0386,726.0386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.0305,0,726.0305,0,726.0305,0,726.0305,'Trojan Infected','S35932-T431'
359,8371,6858,0,6858,0,0,27,0,0,0,0,0,0,726.2102,726.2102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.212,0,726.212,0,726.212,0,726.212,'Trojan Infected','S35932-T432'
359,8366,6856,0,6856,0,0,21,0,0,0,0,0,0,726.1092,726.1092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.1108,0,726.1108,0,726.1108,0,726.1108,'Trojan Infected','S35932-T434'
359,8371,6861,0,6861,0,0,24,0,0,0,0,0,0,726.355,726.355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.3621,0,726.3621,0,726.3621,0,726.3621,'Trojan Infected','S35932-T435'
359,8367,6857,0,6857,0,0,23,0,0,0,0,0,0,726.0972,726.0972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.1043,0,726.1043,0,726.1043,0,726.1043,'Trojan Infected','S35932-T436'
359,8402,6891,0,6891,0,0,35,0,0,0,0,0,0,728.475,728.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728.4764,0,728.4764,0,728.4764,0,728.4764,'Trojan Infected','S35932-T437'
359,8370,6860,0,6860,0,0,24,0,0,0,0,0,0,726.2422,726.2422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.2492,0,726.2492,0,726.2492,0,726.2492,'Trojan Infected','S35932-T438'
359,8371,6861,0,6861,0,0,22,0,0,0,0,0,0,726.291,726.291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.298,0,726.298,0,726.298,0,726.298,'Trojan Infected','S35932-T439'
359,8367,6857,0,6857,0,0,21,0,0,0,0,0,0,726.0912,726.0912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.093,0,726.093,0,726.093,0,726.093,'Trojan Infected','S35932-T440'
359,8372,6862,0,6862,0,0,23,0,0,0,0,0,0,726.3328,726.3328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.3398,0,726.3398,0,726.3398,0,726.3398,'Trojan Infected','S35932-T441'
359,8364,6854,0,6854,0,0,21,0,0,0,0,0,0,725.9474,725.9474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725.9492,0,725.9492,0,725.9492,0,725.9492,'Trojan Infected','S35932-T442'
359,8390,6876,0,6876,0,0,34,0,0,0,0,0,0,727.498,727.498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727.5047,0,727.5047,0,727.5047,0,727.5047,'Trojan Infected','S35932-T600'
359,8389,6877,0,6877,0,0,32,0,0,0,0,0,0,727.6632,727.6632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727.67,0,727.67,0,727.67,0,727.67,'Trojan Infected','S35932-T601'
359,8392,6878,0,6878,0,0,34,0,0,0,0,0,0,727.6389,727.6389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727.6457,0,727.6457,0,727.6457,0,727.6457,'Trojan Infected','S35932-T602'
359,8391,6877,0,6877,0,0,34,0,0,0,0,0,0,727.5211,727.5211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727.5281,0,727.5281,0,727.5281,0,727.5281,'Trojan Infected','S35932-T603'
359,8423,6911,0,6911,0,0,35,0,0,0,0,0,0,729.9696,729.9696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729.9711,0,729.9711,0,729.9711,0,729.9711,'Trojan Infected','S35932-T604'
359,8388,6875,0,6875,0,0,33,0,0,0,0,0,0,727.4208,727.4208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727.4276,0,727.4276,0,727.4276,0,727.4276,'Trojan Infected','S35932-T605'
359,8373,6863,0,6863,0,0,25,0,0,0,0,0,0,726.4257,726.4257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.4276,0,726.4276,0,726.4276,0,726.4276,'Trojan Infected','S35932-T606'
359,8372,6862,0,6862,0,0,24,0,0,0,0,0,0,726.4203,726.4203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.4271,0,726.4271,0,726.4271,0,726.4271,'Trojan Infected','S35932-T607'
359,8479,6965,0,6965,0,0,41,0,0,0,0,0,0,733.533,733.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733.5394,0,733.5394,0,733.5394,0,733.5394,'Trojan Infected','S35932-T608'
359,8388,6874,0,6874,0,0,32,0,0,0,0,0,0,727.4568,727.4568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727.4637,0,727.4637,0,727.4637,0,727.4637,'Trojan Infected','S35932-T609'
359,8393,6879,0,6879,0,0,33,0,0,0,0,0,0,727.6851,727.6851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727.6924,0,727.6924,0,727.6924,0,727.6924,'Trojan Infected','S35932-T610'
359,8397,6883,0,6883,0,0,36,0,0,0,0,0,0,727.9384,727.9384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727.9453,0,727.9453,0,727.9453,0,727.9453,'Trojan Infected','S35932-T611'
359,8382,6870,0,6870,0,0,30,0,0,0,0,0,0,726.9019,726.9019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.8809,0,726.8809,0,726.8809,0,726.8809,'Trojan Infected','S35932-T612'
359,8378,6868,0,6868,0,0,25,0,0,0,0,0,0,726.6611,726.6611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.668,0,726.668,0,726.668,0,726.668,'Trojan Infected','S35932-T613'
359,8385,6872,0,6872,0,0,35,0,0,0,0,0,0,727.2283,727.2283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727.2352,0,727.2352,0,727.2352,0,727.2352,'Trojan Infected','S35932-T614'
359,8376,6866,0,6866,0,0,27,0,0,0,0,0,0,726.6406,726.6406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.6476,0,726.6476,0,726.6476,0,726.6476,'Trojan Infected','S35932-T615'
359,8373,6863,0,6863,0,0,26,0,0,0,0,0,0,726.4692,726.4692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.4709,0,726.4709,0,726.4709,0,726.4709,'Trojan Infected','S35932-T616'
359,8374,6864,0,6864,0,0,26,0,0,0,0,0,0,726.5115,726.5115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.5132,0,726.5132,0,726.5132,0,726.5132,'Trojan Infected','S35932-T617'
359,8378,6868,0,6868,0,0,25,0,0,0,0,0,0,726.6812,726.6812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.6879,0,726.6879,0,726.6879,0,726.6879,'Trojan Infected','S35932-T618'
359,8369,6859,0,6859,0,0,23,0,0,0,0,0,0,726.3506,726.3506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.3525,0,726.3525,0,726.3525,0,726.3525,'Trojan Infected','S35932-T619'
